id,word,type,abs_sg,obl_sg_stem,abs_pl,abs_pl_suffix,obl_pl_stem,abs_sg_cyr,obl_sg_stem_cyr,abs_pl_cyr,abs_pl_suffix_cyr,obl_pl_stem_cyr
108,"ВНУК (внучка, дочь сына)",2,wošuj-joši,wošuj-jošu,wošuj-jošibo,l,wošuj-jošiba,вошуййоши,вошуййошу,вошуййошибо,л,вошуййошиба
108,"ВНУК (внучка, дочь дочери)",2,jošuƛi-joši,jošuƛi-jošu,jošuƛi-jošibo,l,jošuƛi-jošiba,йошуийоши,йошуийошу,йошуийошибо,л,йошуийошиба
109,РЕБЕНОК,1,moč'i,moč'i,moč'i,l,moč'ilu,мочІи,мочІи,мочІи,л,мочІилу
109,РЕБЕНОК,2,moč'i,moč'i,moč'i,l,moč'ili,мочІи,мочІи,мочІи,л,мочІили
110,МУЖЧИНА,1,hek'a,hek'a,,adam,adam,гьекІа,гьекІа,,адам,адам
110,МУЖЧИНА,1,hekᵂ'a,hekᵂ'a,,,,гьекІва,гьекІва,,,
110,МУЖЧИНА (муж),1,kunt'a,kunt'u,kunt'obi,l,kunt'oba,кунтІа,кунтІу,кунтІоби,л,кунтІоба
111,ЖЕНЩИНА,2,jošk'a,jošk'a,još,il,jošili,йошкІа,йошкІа,йош,ил,йошили
111,ЖЕНЩИНА,2,joškᵂa,joškᵂa,,,,йошква,йошква,,,
111,ЖЕНЩИНА,2,horč':i,horč':u,horč':obi,l,ahorč':oba,гьорчІи,гьорчІу,гьорчІоби,л,агьорчІоба
112,НЕВЕСТА,2,nusa,nusa,nusibadu,l,nusiba,нуса,нуса,нусибаду,л,нусиба
113,ЖЕНИХ,1,nuso,nuso,nusobdu,l,nusoba,нусо,нусо,нусобду,л,нусоба
114,ГОСТЬ (мужчина),1,c':e,š,c':e,l,c':elu,цІе,ш,цІе,л,цІелу
114,ГОСТЬ (гостья),2,c':e,c':e,c':e,l,c':elu,цІе,цІе,цІе,л,цІелу
115,"ПАСТУХ, ЧАБАН",1,χoroša,χoroš,χorošu,l,χoroša,ороша,орош,орошу,л,ороша
116,ВООРУЖЁННЫЙ ОТРЯД,4,iha,iha,iha,l,ihali,игьа,игьа,игьа,л,игьали
118,"ОВЦА ВЗРОСЛАЯ, ОВЦЕМАТКА",3,dan,dan,dano,l,dana,дан,дан,дано,л,дана
119,БАРАН ВЗРОСЛЫЙ ( ~ производитель),3,anɬi,anɬio,anɬodu,l,anɬoda,анлъи,анлъио,анлъоду,л,анлъода
119,БАРАН ВЗРОСЛЫЙ ( ~ производитель),3,anɬi,anɬio,anɬodu,l,anɬodoba,анлъи,анлъио,анлъоду,л,анлъодоба
119,БАРАН ВЗРОСЛЫЙ ( ~ кастрированный),3,kun,kun,kummu,l,kumma,кун,кун,кумму,л,кумма
120,ЯГНЕНОК до ОДНОГО года,3,bura,buralo,burdi,l,burdi,бура,бурало,бурди,л,бурди
121,ОВЦА МОЛОДАЯ от одного года до двух-трех лет,3,išk'ol,išk'olo,išk'olo,l,išk'ola,ишкІол,ишкІоло,ишкІоло,л,ишкІола
121,ОВЦА МОЛОДАЯ от одного года до двух-трех лет ( ~ самка),3,horč'in,horč'in,horč'imo,l,horč'ima,гьорчІин,гьорчІин,гьорчІимо,л,гьорчІима
121,ОВЦА МОЛОДАЯ от одного года до двух-трех лет ( ~ самец),3,rebƛa,rebƛalo,rebƛo,l,rebƛa,реба,ребало,ребо,л,реба
122,КОРОВА,3,ziwu,ziwuo,zino,l,zina,зиву,зивуо,зино,л,зина
122,КОРОВА,3,bišonni,bišonnu,,,,бишонни,бишонну,,,
123,БЫК (производитель),3,buʁa,buʁu,buʁᵂ,ol,buʁᵂa,буа,буу,бу,ол,буа
124,ВОЛ,3,unso,unsu,unso,l,unsoli,унсо,унсу,унсо,л,унсоли
125,ТЕЛКА одного-двух лет,3,ʁajč'a,ʁajč'u,ʁajč'ibdu,l,ʁajč'ibda,айчІа,айчІу,айчІибду,л,айчІибда
125,ТЕЛКА двух-четырех лет,3,č'ora,č'oru,č'oribadu,l,c'oriba,чІора,чІору,чІорибаду,л,цІориба
126,ТЕЛЕНОК ДО ОДНОГО года,3,ɬedir,ɬedir,ɬera,l,ɬerali,лъедир,лъедир,лъера,л,лъерали
127,БЫЧОК от одного года до трех лет,3,milča,milčalo,milčibdu,l,milčibda,милча,милчало,милчибду,л,милчибда
127,БЫЧОК от одного года до трех лет,3,milča,milčalo,milčibdu,l,milčibdoba,милча,милчало,милчибду,л,милчибдоба
128,"ЛОШАДЬ, КОНЬ (родовое название)",3,k'otu,k'otu,k'ot,il,k'otili,кІоту,кІоту,кІот,ил,кІотили
129,КОБЫЛА,3,iča,iču,ič,il,ičili,ича,ичу,ич,ил,ичили
130,ЖЕРЕБЕЦ,3,čor,čor,čordu,l,čorda,чор,чор,чорду,л,чорда
130,ЖЕРЕБЕЦ,3,čor,čor,čordu,l,čordoba,чор,чор,чорду,л,чордоба
131,ЖЕРЕБЕНОК,3,taj,taj,tajodu,l,tajoda,тай,тай,тайоду,л,тайода
131,ЖЕРЕБЕНОК,3,taj,taj,tajodu,l,tajodoba,тай,тай,тайоду,л,тайодоба
132,ОСЕЛ,3,hamoroχi,hamoroχu,hamoroχi,l,hamoroχili,гьаморои,гьамороу,гьаморои,л,гьамороили
133,ОСЛЕНОК,3,tok'š:i,tok'iš:u,tok'iš:,ol,tok'iš:a,токІщи,токІищу,токІищ,ол,токІища
134,МУЛ,3,ɢurc'im,ɢurc'im,ɢurc'imo,l,ɢurc'ima,урцІим,урцІим,урцІимо,л,урцІима
135,КОЗА,3,c':ija,c':iju,c':eni,l,c':ena,цІийа,цІийу,цІени,л,цІена
136,КОЗЕЛ,3,t'uka,t'uku,t'uk,il,t'ukili,тІука,тІуку,тІук,ил,тІукили
137,КОЗЛЕНОК,3,c':ek'ir,c':ek'ir,c':ek'irdu,l,c':ek'irda,цІекІир,цІекІир,цІекІирду,л,цІекІирда
137,КОЗЛЕНОК,3,c':ek'ir,c':ek'ir,c':ek'irdu,l,c':ek'irdoba,цІекІир,цІекІир,цІекІирду,л,цІекІирдоба
139,СОБАКА,3,χwoj,χwoj,χwodu,l,χwoda,вой,вой,воду,л,вода
139,СОБАКА,3,χwoj,χwoj,χwodu,l,χwodoba,вой,вой,воду,л,водоба
140,СУКА,3,geži,gežo,gežobi,l,gežoba,гежи,гежо,гежоби,л,гежоба
